,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000216014,0,0,0,0,0,0,0,0,0
ENSMUST00000196121,0,3,3,0,0,0,0,0,0
ENSMUST00000106478,0,0,0,0,0,0,0,0,0
ENSMUST00000031399,15,14,51,6,10,4,12,1,9
ENSMUST00000082408,0,0,1,0,321,282,0,1,0
ENSMUST00000052712,12,6,6,12,18,26,3,11,7
ENSMUST00000033591,0,0,0,0,0,0,0,0,0
ENSMUST00000045296,0,2,1,0,1,0,0,1,2
ENSMUST00000059018,2,5,0,1,3,3,1,3,0
ENSMUST00000023176,1,2,1,1,14,5,5,4,0
ENSMUST00000187712,0,0,0,0,0,0,0,0,0
ENSMUST00000063656,0,0,0,0,0,0,0,0,0
ENSMUST00000201166,0,0,0,0,0,0,0,0,0
ENSMUST00000185705,0,0,0,0,0,0,0,0,0
ENSMUST00000080359,5,2,51,32,36,48,0,56,0
ENSMUST00000108926,0,0,1,4,0,3,2,0,0
ENSMUST00000112691,0,20,33,11,17,0,0,8,0
ENSMUST00000029624,0,0,0,0,0,0,0,0,0
ENSMUST00000031976,0,3,0,0,0,0,0,0,0
ENSMUST00000177815,0,0,0,0,0,0,0,0,0
ENSMUST00000176233,0,0,0,0,0,0,0,0,0
ENSMUST00000053872,0,0,0,0,0,0,0,0,0
ENSMUST00000049091,4,5,6,7,1,0,2,2,0
ENSMUST00000110748,0,0,0,0,0,0,0,0,0
ENSMUST00000216238,0,0,0,0,0,0,0,0,0
ENSMUST00000017836,0,0,0,0,0,0,0,0,0
ENSMUST00000076730,0,0,0,0,0,0,0,0,0
ENSMUST00000015796,77,106,99,21,27,19,33,44,36
ENSMUST00000154460,0,0,0,0,0,0,0,0,0
ENSMUST00000163134,0,0,0,0,0,0,0,0,0
ENSMUST00000038890,5,8,5,5,0,0,5,4,0
ENSMUST00000060067,0,0,0,0,0,0,0,0,0
ENSMUST00000237195,0,0,0,0,0,0,0,0,0
ENSMUST00000239292,0,0,0,0,0,0,0,0,0
ENSMUST00000022053,4,4,2,0,2,0,1,10,11
ENSMUST00000026663,1,13,1,0,3,2,8,0,0
ENSMUST00000215548,0,0,0,0,0,0,0,0,0
ENSMUST00000189517,24,22,38,1,10,5,22,20,11
ENSMUST00000228793,0,0,0,0,0,0,0,0,0
ENSMUST00000075249,0,1,7,1,2,2,0,0,0
ENSMUST00000056391,0,0,0,0,0,0,0,0,0
ENSMUST00000028781,5,1,6,9,9,12,0,15,9
ENSMUST00000043915,0,0,0,0,2,0,0,0,0
ENSMUST00000062917,0,0,0,0,0,0,0,0,0
ENSMUST00000179466,0,0,0,0,0,0,0,0,0
ENSMUST00000103204,0,0,0,0,0,0,0,0,0
ENSMUST00000213496,0,0,0,0,0,0,0,0,0
ENSMUST00000102738,17,20,19,9,6,5,6,2,3
ENSMUST00000021479,0,2,3,1,2,1,1,3,0
ENSMUST00000236689,0,0,0,0,0,0,0,0,0
ENSMUST00000029355,8,11,8,2,7,6,0,8,1
ENSMUST00000030684,16,28,35,13,35,10,9,19,5
ENSMUST00000065793,162,159,185,39,60,71,59,62,30
ENSMUST00000106479,0,0,11,0,0,0,0,0,0
ENSMUST00000213937,0,0,0,0,0,0,0,0,0
ENSMUST00000221866,0,0,0,0,0,0,0,0,0
ENSMUST00000102759,9,13,19,7,4,16,7,0,3
ENSMUST00000112122,0,0,0,0,0,0,0,3,0
ENSMUST00000038027,0,7,0,0,0,0,0,0,0
ENSMUST00000035201,0,0,0,0,0,0,0,1,0
ENSMUST00000114045,0,0,0,0,0,0,0,0,0
ENSMUST00000052724,0,0,0,0,0,0,0,0,0
ENSMUST00000028511,0,1,3,2,1,2,3,1,0
ENSMUST00000200447,0,0,0,0,0,0,0,0,0
ENSMUST00000028804,2,0,0,0,0,4,0,0,0
ENSMUST00000098453,0,0,0,0,0,0,0,0,0
ENSMUST00000109375,0,0,0,0,0,0,0,0,0
ENSMUST00000097303,0,0,0,0,0,0,0,0,0
ENSMUST00000169593,0,2,0,0,0,0,3,0,0
ENSMUST00000106953,0,3,0,0,0,0,0,0,0
ENSMUST00000103100,0,0,0,0,0,0,0,0,0
ENSMUST00000236177,0,0,0,0,0,0,0,0,0
ENSMUST00000027867,8,9,8,2,4,3,1,4,1
ENSMUST00000221136,0,0,0,0,0,0,0,0,0
ENSMUST00000214111,0,0,0,0,0,0,0,0,0
ENSMUST00000223163,1,2,3,0,1,0,0,0,0
ENSMUST00000091291,17,40,32,14,28,6,15,15,4
